STATE      ,CONSTITUENCY         ,PARTY ,POSITION ,CANDIDATE_NAME                    ,PWD               ,AGE ,GENDER ,QUALIFICATIONS                                                                                                                   ,REMARKS
ABIA       ,ABIA CENTRAL         ,AA    ,Senate   ,UBANI IHEANYICHUKWU DENNIS        ,None              , 51 ,M      ,WAEC HND                                                                                                                         ,
ABIA       ,ABIA SOUTH           ,AAC   ,Senate   ,NWANKWO GODSWILL CHINYERE         ,None              , 48 ,M      ,FSLC WAEC DEGREE                                                                                                                 ,
ABIA       ,ABIA NORTH           ,ADC   ,Senate   ,EMETU MARTINS                     ,None              , 72 ,M      ,FLSC SSCE DEGREE                                                                                                                 ,
ABIA       ,ABIA CENTRAL         ,ADC   ,Senate   ,JOHN ABRAHAM GODSON               ,None              , 51 ,M      ,SCHOOL LEAVING CERTIFICATE WASC                                                                                                  ,
ABIA       ,ABIA SOUTH           ,ADC   ,Senate   ,EDEDE OKEY                        ,None              , 58 ,M      ,FLSC SSCE DEGREE                                                                                                                 ,
ABIA       ,ABIA SOUTH           ,ADP   ,Senate   ,WOKOLEME IKECHUKWU DAVID AJUZIE   ,None              , 50 ,M      ,FSLC                                                                                                                             ,
ABIA       ,ABIA SOUTH           ,APC   ,Senate   ,NWAGBA BLESSING OKWUCHI           ,None              , 63 ,F      ,First School Leaving Certificate WAEC PHD                                                                                        ,
ABIA       ,ABIA NORTH           ,APC   ,Senate   ,KALU ORJI UZOR                    ,None              , 62 ,M      ,First School Leaving Certificate WAEC BSc                                                                                        ,
ABIA       ,ABIA CENTRAL         ,APGA  ,Senate   ,NWEKE EMMANUEL AHAMDI             ,None              , 63 ,M      ,"FIRST SCHOOL LEAVING CERTIFICATE WASSCE DEGREE M.Sc"                                                                            ,
ABIA       ,ABIA NORTH           ,APGA  ,Senate   ,DIKE- OKORAFOR CAROL BALUEKAM     ,None              , 74 ,F      ,FIRST SCHOOL LEAVING CERTIFICATE WASSCE BACHELOR OF LAWS (LLB)                                                                   ,
ABIA       ,ABIA NORTH           ,APM   ,Senate   ,NWOSU EMMANUELA NNENNAYA          ,None              , 53 ,F      ,FIRST SCHOOL LEAVING CERTIFICATE WAEC                                                                                            ,
ABIA       ,ABIA SOUTH           ,APGA  ,Senate   ,ABARIBE ENYINNAYA HARCOURT        ,None              , 67 ,M      ,WASSCE B.Sc(ECONS) M.Sc(ECONS)                                                                                                   ,
ABIA       ,ABIA CENTRAL         ,APP   ,Senate   ,NDUKA CHIJIOKE TIMOTHY            ,None              , 40 ,M      ,FSLC SSCE                                                                                                                        ,
ABIA       ,ABIA SOUTH           ,APP   ,Senate   ,KANU SIGNOR NDUBUEZE CHUKWUEMEKA  ,None              , 50 ,M      ,FSLC SSCE BSC                                                                                                                    ,
ABIA       ,ABIA NORTH           ,APP   ,Senate   ,ADIJEH IFEANYICHUKWU KINGSLEY     ,None              , 48 ,M      ,FSLC SSCE BSC                                                                                                                    ,
ABIA       ,ABIA CENTRAL         ,LP    ,Senate   ,DARLINGTON NWOKOCHA               ,                  ,    ,       ,                                                                                                                                 ,COURT ORDER
ABIA       ,ABIA NORTH           ,LP    ,Senate   ,IRO-OJI NNAMDI                    ,None              , 53 ,M      ,FSLC Degree                                                                                                                      ,
ABIA       ,ABIA SOUTH           ,LP    ,Senate   ,ONYEIZU CHINEDU CHIMAEZE          ,None              , 41 ,M      ,FSLC WAEC Degree                                                                                                                 ,
ABIA       ,ABIA CENTRAL         ,NNPP  ,Senate   ,AIYELABEGAN KAYODE ABDUL          ,None              , 67 ,M      ,PRIMARY LEAVING CERTIFICATE WAEC                                                                                                 ,
ABIA       ,ABIA NORTH           ,NNPP  ,Senate   ,SAIDU AHMED                       ,None              , 36 ,M      ,PRIMARY LEAVING CERTIFICATE WAEC                                                                                                 ,
ABIA       ,ABIA SOUTH           ,NNPP  ,Senate   ,IHEZIE OBINNA DESMOND             ,None              , 89 ,M      ,PRIMARY LEAVING CERTIFICATE WAEC                                                                                                 ,
ABIA       ,ABIA CENTRAL         ,NRM   ,Senate   ,IBEKWE KENNRY CHIMEZIE OLEKANMA   ,None              , 53 ,M      ,WAEC HIGHER NATIONAL DIPLOMA (HND)                                                                                               ,
ABIA       ,ABIA SOUTH           ,NRM   ,Senate   ,ULU JOSEPH                        ,None              , 36 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE SENIOR SECONDARY CERTIFICATE EXAMINATION BSC                                                    ,
ABIA       ,ABIA NORTH           ,NRM   ,Senate   ,WOGU CHINOYEREM                   ,Visually Impaired , 56 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE SSCE BA                                                                                         ,
ABIA       ,ABIA NORTH           ,PDP   ,Senate   ,OHUABUNWA MAO ARUKWE              ,None              , 65 ,M      ,WAEC HND PGD                                                                                                                     ,
ABIA       ,ABIA SOUTH           ,PDP   ,Senate   ,IKPEAZU OKEZIE VICTOR             ,None              , 57 ,M      ,FSLC WAEC PHD                                                                                                                    ,
ABIA       ,ABIA CENTRAL         ,PDP   ,Senate   ,AKOBUNDU AUGUSTINE OKWUDIRI       ,None              , 66 ,M      ,GCE DIPLOMA                                                                                                                      ,
ABIA       ,ABIA NORTH           ,SDP   ,Senate   ,ECHEWE UCHE BROWN                 ,None              , 46 ,M      ,PRIMARY SCHOOL CERT SECONDARY SCHOOL CERT                                                                                        ,
ABIA       ,ABIA SOUTH           ,SDP   ,Senate   ,UZOIGWE KENNETH                   ,None              , 42 ,M      ,PRIMARY SCHOOL CERT SECONDARY SCHOOL CERT                                                                                        ,
ABIA       ,ABIA CENTRAL         ,SDP   ,Senate   ,NWOSU PATRICK                     ,None              , 37 ,M      ,PRIMARY SCHOOL CERT SECONDARY SCHOOL CERT HND                                                                                    ,
ABIA       ,ABIA CENTRAL         ,YPP   ,Senate   ,WACHUKU CHUKUMERE                 ,None              , 77 ,M      ,SSCE BSC                                                                                                                         ,
ABIA       ,ABIA SOUTH           ,YPP   ,Senate   ,NWANKWO EZENWA DON ALAOMA         ,None              , 51 ,M      ,WAEC BSC                                                                                                                         ,
ABIA       ,ABIA NORTH           ,YPP   ,Senate   ,IGWE AHANNA 0RJI                  ,None              , 43 ,M      ,"G.E.D USA BSC"                                                                                                                  ,
ADAMAWA    ,ADAMAWA CENTRAL      ,ADC   ,Senate   ,BUTU ALIYU                        ,None              , 42 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE SSCE HND                                                                                        ,
ADAMAWA    ,ADAMAWA SOUTH        ,ADC   ,Senate   ,DANRIMI UMARU SULEIMAN            ,None              , 67 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE COC ADPA                                                                                        ,
ADAMAWA    ,ADAMAWA NORTH        ,ADC   ,Senate   ,AHMED USMAN                       ,None              , 49 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE WACE BSC                                                                                        ,
ADAMAWA    ,ADAMAWA NORTH        ,APC   ,Senate   ,ISHAKU ELISHA CLIFF               ,None              , 42 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE NECO SSCE B.SC BUSINESS ADMINISTRATION                                                          ,
ADAMAWA    ,ADAMAWA SOUTH        ,APC   ,Senate   ,ISMAILA ADAMU                     ,None              , 65 ,M      ,PRIMARY CERTIFICATE WASC B.ENG CIVIL ENGINEER                                                                                    ,
ADAMAWA    ,ADAMAWA CENTRAL      ,APC   ,Senate   ,NYAKO ABDUL-AZIZ MURTALA          ,None              , 52 ,M      ,WAEC NDA                                                                                                                         ,
ADAMAWA    ,ADAMAWA SOUTH        ,LP    ,Senate   ,NGURIKAN JESSE SETH               ,None              , 66 ,M      ,FSLC SSCE                                                                                                                        ,
ADAMAWA    ,ADAMAWA CENTRAL      ,LP    ,Senate   ,ADAMU SAIDU ISMAILA               ,None              , 58 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE SSCE B. Sc                                                                                      ,
ADAMAWA    ,ADAMAWA NORTH        ,LP    ,Senate   ,ADAMU MOHAMMED                    ,None              , 44 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE SSCE                                                                                            ,
ADAMAWA    ,ADAMAWA CENTRAL      ,NNPP  ,Senate   ,HAMMAN AHMADU                     ,None              , 39 ,M      ,PRIMARY SCHOOL CERTIFICATE SSCE                                                                                                  ,
ADAMAWA    ,ADAMAWA SOUTH        ,NNPP  ,Senate   ,SASHI BERYL NZOBYARA              ,None              , 59 ,F      ,PRIMARY SCHOOL LEAVING CERTIFICATE SSCE MASTERS                                                                                  ,
ADAMAWA    ,ADAMAWA NORTH        ,NNPP  ,Senate   ,BELEL ABDULLAHI DAUDA             ,None              , 54 ,M      ,PRIMARY SCHOOL CERTIFICATE SSCE BACHELOR DEGREE MASTERS                                                                          ,
ADAMAWA    ,ADAMAWA SOUTH        ,NRM   ,Senate   ,MUKTAR BELLOW HAYATU              ,None              , 47 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE SSCE DIPLOMA                                                                                    ,
ADAMAWA    ,ADAMAWA CENTRAL      ,NRM   ,Senate   ,SAAD NUHU                         ,None              , 49 ,M      ,FRIST SCHOOL LEAVING CERTIFICATENATIONAL TEACHERS INSTITUTE                                                                      ,
ADAMAWA    ,ADAMAWA NORTH        ,NRM   ,Senate   ,GRACE EZRA                        ,None              , 39 ,F      ,FIRST SCHOOL LEAVING CERTIFICATE WEST AFRICAN SCHOOL CERTIFICATE                                                                 ,
ADAMAWA    ,ADAMAWA CENTRAL      ,PDP   ,Senate   ,ABBAS AMINU IYA                   ,None              , 49 ,M      ,G.C.E. BSc.                                                                                                                      ,
ADAMAWA    ,ADAMAWA SOUTH        ,PDP   ,Senate   ,YAROE BINOS DAUDA                 ,None              , 67 ,M      ,FSLC SSCE B.A                                                                                                                    ,
ADAMAWA    ,ADAMAWA NORTH        ,PDP   ,Senate   ,YOHANNA AMOS KUMAI                ,None              , 61 ,M      ,FSLC G.C.E. DIPLOMA                                                                                                              ,
ADAMAWA    ,ADAMAWA NORTH        ,PRP   ,Senate   ,MEDUGU ZAKARIYA JOSHUA            ,None              , 56 ,M      ,certificate of primary education SENIOR SCHOOL CERTIFICATE EXAMINATION B.Sc Business Administration(Banking and Finance) UNIMAID ,
ADAMAWA    ,ADAMAWA CENTRAL      ,PRP   ,Senate   ,DAHIRU AMINU ABUBAKAR             ,None              , 57 ,M      ,CERTIFICATE OF PRIMARY EDUCATION GENERAL CERTIFICATE OF EDUCATION DIPLOMA IN SHARIA AND CIVIL LAW                                ,
ADAMAWA    ,ADAMAWA SOUTH        ,PRP   ,Senate   ,NURUDDEN ADAM NYAKO               ,None              , 44 ,M      ,PRIMARY SCHOOL CERTIFICATE SENIOR SCHOOL CERTIFICATE EXAMINATION B.sc BANKING AND FINANCE UNIMAID                                ,
ADAMAWA    ,ADAMAWA NORTH        ,SDP   ,Senate   ,AHMED HADIZA                      ,None              , 46 ,F      ,PRIMARY SCHOOL CERT SENIOR SCHOOL CERTIFICATE BSC (HONs)                                                                         ,
ADAMAWA    ,ADAMAWA CENTRAL      ,SDP   ,Senate   ,AHIJO KARLAHI IBRAHIM             ,None              , 36 ,M      ,FIRST SCHOOL LEAVING CERT SECONDARY SCHOOL CERT (NECO) BSC (HONs) BUSINESS MANAGEMENT                                            ,
ADAMAWA    ,ADAMAWA SOUTH        ,SDP   ,Senate   ,WILLIAMS BURKE GHATE              ,None              , 39 ,M      ,PRIMARY SCHOOLCERT SSCE M. Sc.                                                                                                   ,
ADAMAWA    ,ADAMAWA CENTRAL      ,YPP   ,Senate   ,BAWA SIMON                        ,None              , 44 ,M      ,FSLC SSCE BACHELOR OF AGRIC TECH                                                                                                 ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,A     ,Senate   ,INYANG PEACE MARTINS              ,None              , 38 ,F      ,FSLC SSC                                                                                                                         ,
AKWA IBIOM ,AKWA IBOM SOUTH      ,A     ,Senate   ,UGANA ESTHER ARTHUR               ,None              , 43 ,F      ,SSC                                                                                                                              ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,A     ,Senate   ,NDEM IME EDEM HOSANNA             ,None              , 49 ,M      ,                                                                                                                                 ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,AA    ,Senate   ,ANDEM CALISTUS                    ,None              , 38 ,M      ,F.L.S.C WAEC                                                                                                                     ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,AA    ,Senate   ,ESHIET ETIUWEM NNAMNSO            ,None              , 39 ,M      ,F.L.S.C WAEC HND                                                                                                                 ,
AKWA IBIOM ,AKWA IBOM SOUTH      ,AA    ,Senate   ,UMOH BLESSING UMOH                ,None              , 38 ,F      ,F.L.S.C WAEC                                                                                                                     ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,AAC   ,Senate   ,UDOFIA VICTOR AMAITEM             ,None              , 57 ,M      ,FSLC WAEC BSC                                                                                                                    ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,AAC   ,Senate   ,MBAT UBONG HANSON                 ,None              , 35 ,M      ,                                                                                                                                 ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,ADC   ,Senate   ,ENGR RAPHAEL EDWIN AMOS           ,None              , 58 ,M      ,FLSC SSCE BSC                                                                                                                    ,
AKWA IBIOM ,AKWA IBOM SOUTH      ,ADC   ,Senate   ,"VICTOR UMOH,OKON"                ,None              , 43 ,M      ,                                                                                                                                 ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,ADC   ,Senate   ,IBOKETTE PRINCESS VICTORIA MATADI ,None              , 45 ,F      ,"FIRST SCHOOL LEAVING CERTIFICATE WEST,AFRICAN SCHOOL CERTIFICATE"                                                               ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,ADP   ,Senate   ,AKPAN THURSDAY TIM                ,None              , 55 ,M      ,FLSC SCHOOL WASC B.SC                                                                                                            ,
AKWA IBIOM ,AKWA IBOM SOUTH      ,ADP   ,Senate   ,BASSY BASSY MONDAY                ,None              , 56 ,M      ,FLSC SCHOOL WASC B.SC BUSINESS ADMINISTRATION                                                                                    ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,ADP   ,Senate   ,EKONG UBONG EMMANUEL              ,None              , 39 ,M      ,FLSC NECO                                                                                                                        ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,APC   ,Senate   ,AKPABIO GODSWILL OBOT             ,None              , 59 ,M      ,FSLC GCE LLB BL                                                                                                                  ,COURT ORDER
AKWA IBIOM ,AKWA IBOM SOUTH      ,APC   ,Senate   ,UDO-INYANG MARTYNS DENIS          ,None              , 64 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE SSCE MASTER OF BUSINESS ADMINISTRATION                                                          ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,APC   ,Senate   ,UKPONG EMAEYAK NKANGA             ,None              , 66 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE WAEC BSC                                                                                        ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,APGA  ,Senate   ,AKPAETOR AUGUSTINE AUGUSTINE      ,None              , 36 ,M      ,FSLC WASSCE B.SC                                                                                                                 ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,APGA  ,Senate   ,ESSIEN BASSEY EDET                ,None              , 62 ,M      ,FSLC O LEVEL GCELL.B/BL                                                                                                          ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,APM   ,Senate   ,JUMBO OTO-OBONG DANIEL            ,None              , 42 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE WAEC BSC                                                                                        ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,LP    ,Senate   ,EKPEYONG LEO ENOBONG              ,None              , 39 ,M      ,FSLC SSCE B. Sc                                                                                                                  ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,LP    ,Senate   ,OKPONGETE NSEOBONG NSEOBONG       ,None              , 53 ,F      ,FSLC SSCE/GCE B.ED                                                                                                               ,
AKWA IBIOM ,AKWA IBOM SOUTH      ,LP    ,Senate   ,ESSIEN DOMINIC UBONG HENRY        ,None              , 47 ,M      ,FSLC SSCE B.A                                                                                                                    ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,NNPP  ,Senate   ,BASSEY ABASIAMANAM EFFIONG        ,None              , 45 ,M      ,PRIMARY CERTIFICATE SSCE ND                                                                                                      ,
AKWA IBIOM ,AKWA IBOM SOUTH      ,NNPP  ,Senate   ,AFIA EKEREOBONG UDO               ,None              , 55 ,M      ,"PRIMARY CERTIFICATE WASC MBA BUSINESS ADMIN.,PGD BUSINESS MANAGEMENT AND ADMINIDTRATION OND & HND CIVIL ENGINEERING"            ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,NNPP  ,Senate   ,JOHN JULIUS OKON                  ,None              , 41 ,M      ,PRIMARY CERTIFICATE SSCE                                                                                                         ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,NRM   ,Senate   ,EKONG ESEME BASSEY                ,None              , 65 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE WEST AFRICAN SCHOOL CERTIFICATE OND                                                             ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,NRM   ,Senate   ,UDONKANG AKAMIMO FIDELIS          ,None              , 41 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE (FLSC) SSCE B.SC                                                                                ,
AKWA IBIOM ,AKWA IBOM SOUTH      ,NRM   ,Senate   ,DUFF NSE AKWAOWO                  ,None              , 36 ,F      ,FIRST SCHOOL LEAVING CERTIFICATE WAEC                                                                                            ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,PDP   ,Senate   ,ENOIDEM MOSES EMMANUEL            ,None              , 58 ,M      ,FSLC GCE LLB                                                                                                                     ,
AKWA IBIOM ,AKWA IBOM SOUTH      ,PDP   ,Senate   ,AKPAN EKONG SAMPSON               ,None              , 55 ,M      ,FSLC GCE BL                                                                                                                      ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,PDP   ,Senate   ,BASSEY ANIEKAN ETIM               ,None              , 43 ,M      ,FSLC SSCE MSC                                                                                                                    ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,SDP   ,Senate   ,UDO GOGWIN ETIM                   ,None              , 38 ,M      ,FSLC SSCE                                                                                                                        ,
AKWA IBIOM ,AKWA IBOM SOUTH      ,SDP   ,Senate   ,MOSES ANIEFIOK EDOHO              ,None              , 38 ,M      ,FSLC SSCE HND                                                                                                                    ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,SDP   ,Senate   ,EKPE NKEREUWEM SUNDA              ,None              , 58 ,F      ,FSLC SSCE BSC                                                                                                                    ,
AKWA IBIOM ,AKWA IBOM SOUTH      ,YPP   ,Senate   ,INYANG-EYEN EPHRAIM AKPARAWA      ,None              , 56 ,M      ,FSLC WAEC B.SC                                                                                                                   ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,YPP   ,Senate   ,EKON EMMANUEL BARTHOLOMEW         ,None              , 50 ,M      ,FSLC SSCE BSC                                                                                                                    ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,YPP   ,Senate   ,AKPABIO USENOBONG OTU             ,None              , 55 ,M      ,FSLC WASSCE BSC                                                                                                                  ,
AKWA IBIOM ,AKWA IBOM SOUTH      ,ZLP   ,Senate   ,UMO BLESSING OKON                 ,None              , 43 ,F      ,FIRST SCHOOL LEAVING CERTIFICATE NATIONAL DIPLOMA                                                                                ,
AKWA IBIOM ,AKWA IBOM NORTH EAST ,ZLP   ,Senate   ,UMOH NNAMONSO ITUEN               ,None              , 47 ,M      ,FIRST SCHOOL LEAVING CERTIFICATE WEST AFRICAN SCHOOL CERTIFICATE                                                                 ,
AKWA IBIOM ,AKWA IBOM NORTH WEST ,ZLP   ,Senate   ,EBIENANG UDO BASSEY               ,None              , 62 ,M      ,"FIRST SCHOOL LEAVING CERTIFICATE WEST,AFRICAN SCHOOL CERTIFICATE"                                                               ,